tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,tmdb_id,popularity,original_language,release_date,tmdb_vote_average,tmdb_vote_count,tmdb_genres
tt0120063,Santo Stefano,1997.0,84.0,"Crime,Drama",7.6,15.0,571065.0,0.2382,it,1997-08-28,6.0,1.0,Drama
tt0066090,The Molly Maguires,1970.0,124.0,"Drama,History",6.8,4805.0,42345.0,1.3566,en,1970-02-08,6.3,80.0,"Drama,History,Thriller"
tt4655860,Les gouffres de l'extrême,2014.0,50.0,Documentary,,,,,,,,,
tt0073049,The Girl with the Dexterous Touch,1975.0,,"Fantasy,Romance",,,926102.0,1.2944,zh,1975-07-30,0.0,0.0,"Romance,Comedy"
tt9238296,Masaaki Hatsumi: Living Ninja Legend,2016.0,49.0,"Documentary,Sport",6.9,12.0,507867.0,0.6408,en,2016-07-02,10.0,1.0,Documentary
tt6344482,Gandhi Ni Golmaal,2017.0,130.0,Comedy,6.2,12.0,,,,,,,
tt26433194,Tamma Elashrar,1999.0,83.0,Crime,,,,,,,,,
tt13766376,The Sky Was Different,2020.0,,Musical,,,,,,,,,
tt10307944,La pérdida del cuerpo,2019.0,67.0,Documentary,8.1,13.0,1461517.0,0.0143,ru,2019-01-12,0.0,0.0,
tt0121560,Devil Lover,1992.0,83.0,"Horror,Thriller",5.2,8.0,582511.0,1.1226,cn,1993-01-01,5.0,1.0,"Romance,Thriller,Drama"
tt0079443,The Last of the Blue Devils,1979.0,90.0,"Documentary,Music",8.1,69.0,192971.0,0.2011,en,1979-10-01,7.3,3.0,"Music,Documentary"
tt6645106,Nomad,2017.0,115.0,"Drama,Fantasy,Thriller",,,,,,,,,
tt0275415,I Loved You,2001.0,102.0,Documentary,7.8,40.0,655171.0,0.0964,ru,2000-03-05,0.0,0.0,Documentary
tt6260832,Jubine and Ashok,2016.0,,Drama,,,,,,,,,
tt0372598,Vigilante,1987.0,,"Action,Drama",6.6,11.0,,,,,,,
tt29293688,Today,2023.0,57.0,Documentary,,,,,,,,,
tt9737568,Amparo,2021.0,95.0,Drama,6.6,275.0,766710.0,0.1522,es,2022-04-28,5.8,9.0,"Drama,Family"
tt2613212,Prem Jaal,1979.0,123.0,Romance,5.0,9.0,1200147.0,0.2398,hi,1979-01-01,0.0,0.0,Romance
tt1794816,It's a Bash!,2010.0,64.0,Documentary,8.6,7.0,,,,,,,
tt1836220,Whiskey,2010.0,55.0,Comedy,,,,,,,,,
tt0010543,Out of the Shadow,1919.0,50.0,Mystery,,,1010526.0,0.167,en,1919-01-05,0.0,0.0,Mystery
tt3147652,Saying Goodbye,2012.0,,Documentary,,,,,,,,,
tt15655290,Sex Pistols: Agents of Anarchy,2019.0,,Documentary,6.5,17.0,,,,,,,
tt15978222,Echo,2021.0,86.0,Documentary,,,,,,,,,
tt3532686,All About E,2015.0,96.0,"Comedy,Drama,Romance",5.2,1176.0,320639.0,0.2881,en,2015-02-21,5.0,44.0,"Romance,Comedy,Drama"
tt1289430,La rabbia di Pasolini,2008.0,83.0,Documentary,7.1,232.0,122619.0,0.2523,it,2008-09-05,7.5,14.0,Documentary
tt0057652,The Victors,1963.0,175.0,"Drama,War",6.9,1953.0,3012.0,1.2528,en,1963-11-22,6.2,26.0,"Drama,War"
tt5106494,Jeff Golub: Train Keeps a Rolling,2021.0,97.0,Documentary,,,1658398.0,0.0362,en,2021-10-06,0.0,0.0,Documentary
tt20566338,Bending the Note: the Story of Siren,2022.0,,Documentary,,,1206567.0,0.0261,en,2022-12-18,0.0,0.0,
tt0096039,Saturday the 14th Strikes Back,1988.0,78.0,"Comedy,Fantasy,Horror",3.1,767.0,45880.0,0.6577,en,1988-09-26,4.1,16.0,"Comedy,Fantasy,Horror"
tt0018399,The Silent Hero,1927.0,60.0,"Action,Adventure,Drama",1.7,24.0,935356.0,0.1792,en,1927-08-01,2.7,3.0,"Action,Adventure"
tt32438336,Tahader Katha,2024.0,108.0,Drama,5.4,17.0,,,,,,,
tt6839328,Mermaid Parade,2017.0,82.0,Drama,,,,,,,,,
tt3178084,The Field,2013.0,45.0,"Adventure,Horror,Mystery",7.0,21.0,,,,,,,
tt6563012,The Lowlife,2017.0,120.0,Drama,5.8,226.0,488981.0,2.3204,ja,2017-11-25,5.8,18.0,Drama
tt32214314,Royal Flush,2024.0,90.0,Action,,,,,,,,,
tt0026392,Gunfire,1934.0,56.0,"Drama,Western",5.0,40.0,1142527.0,0.1862,en,1934-06-01,0.0,0.0,Western
tt0478220,Otvetnaya mera,1975.0,90.0,"Biography,Drama,History",7.6,72.0,1525408.0,0.2892,ru,1975-05-24,0.0,0.0,Drama
tt0103664,Amami,1993.0,91.0,Comedy,5.3,58.0,530286.0,0.3318,it,1993-03-05,3.8,5.0,Comedy
tt6649904,Galz About Town,2015.0,,Drama,,,,,,,,,
tt28550978,Standing Room Only,1962.0,,"Adventure,Documentary,Sport",,,,,,,,,
tt13920574,Last Man Standing,2021.0,,Documentary,,,1622237.0,0.0363,en,,0.0,0.0,
tt5271328,Space Camp,2018.0,,"Adventure,Comedy",6.6,23.0,,,,,,,
tt7746330,She & He,2006.0,82.0,Drama,7.6,16.0,1285308.0,0.0331,ar,2006-09-27,0.0,0.0,Drama
tt3312546,Quiero ser Messi,2013.0,,Documentary,6.5,75.0,,,,,,,
